MedUrl,BrandName,GenName,Effects,Desc
http://www.medsplan.com/DrugsDetailsPage/GLUBOSE-50MG/Acarbose,GLUBOSE 50MG,Acarbose,"Flatulence,Soft stools,Diarrhoea (may need to reduce dose or withdraw),Abdominal distention,Pain,Rarely, nausea,Abnormal liver function tests and skin reactions,Very rarely ileus,Oedema,Jaundice, and hepatitis",Type 2 Diabetes Mellitus
http://www.medsplan.com/DrugsDetailsPage/GLUTIRO-50MG/Acarbose,GLUTIRO 50MG,Acarbose,"Flatulence,Soft stools,Diarrhoea (may need to reduce dose or withdraw),Abdominal distention,Pain,Rarely, nausea,Abnormal liver function tests and skin reactions,Very rarely ileus,Oedema,Jaundice, and hepatitis",Type 2 Diabetes Mellitus
http://www.medsplan.com/DrugsDetailsPage/GLUBOSE-25MG/Acarbose,GLUBOSE 25MG,Acarbose,"Flatulence,Soft stools,Diarrhoea (may need to reduce dose or withdraw),Abdominal distention,Pain,Rarely, nausea,Abnormal liver function tests and skin reactions,Very rarely ileus,Oedema,Jaundice, and hepatitis",Type 2 Diabetes Mellitus
http://www.medsplan.com/DrugsDetailsPage/GLUCAR-25MG/Acarbose,GLUCAR 25MG,Acarbose,"Flatulence,Soft stools,Diarrhoea (may need to reduce dose or withdraw),Abdominal distention,Pain,Rarely, nausea,Abnormal liver function tests and skin reactions,Very rarely ileus,Oedema,Jaundice, and hepatitis",Type 2 Diabetes Mellitus
http://www.medsplan.com/DrugsDetailsPage/GLUCOBAY-M-/Acarbose,GLUCOBAY M,Acarbose,"Flatulence,Soft stools,Diarrhoea (may need to reduce dose or withdraw),Abdominal distention,Pain,Rarely, nausea,Abnormal liver function tests and skin reactions,Very rarely ileus,Oedema,Jaundice, and hepatitis",Type 2 Diabetes Mellitus
http://www.medsplan.com/DrugsDetailsPage/GLUCOBAY/Acarbose,GLUCOBAY,Acarbose,"Flatulence,Soft stools,Diarrhoea (may need to reduce dose or withdraw),Abdominal distention,Pain,Rarely, nausea,Abnormal liver function tests and skin reactions,Very rarely ileus,Oedema,Jaundice, and hepatitis",Type 2 Diabetes Mellitus
http://www.medsplan.com/DrugsDetailsPage/GLUDASE-50MG/Acarbose,GLUDASE 50MG,Acarbose,"Flatulence,Soft stools,Diarrhoea (may need to reduce dose or withdraw),Abdominal distention,Pain,Rarely, nausea,Abnormal liver function tests and skin reactions,Very rarely ileus,Oedema,Jaundice, and hepatitis",Type 2 Diabetes Mellitus
http://www.medsplan.com/DrugsDetailsPage/GLUCAR-50MG/Acarbose,GLUCAR 50MG,Acarbose,"Flatulence,Soft stools,Diarrhoea (may need to reduce dose or withdraw),Abdominal distention,Pain,Rarely, nausea,Abnormal liver function tests and skin reactions,Very rarely ileus,Oedema,Jaundice, and hepatitis",Type 2 Diabetes Mellitus
http://www.medsplan.com/DrugsDetailsPage/GLUCARB-50MG-/Acarbose,GLUCARB 50MG,Acarbose,"Flatulence,Soft stools,Diarrhoea (may need to reduce dose or withdraw),Abdominal distention,Pain,Rarely, nausea,Abnormal liver function tests and skin reactions,Very rarely ileus,Oedema,Jaundice, and hepatitis",Type 2 Diabetes Mellitus
http://www.medsplan.com/DrugsDetailsPage/GLUCARB-25MG/Acarbose,GLUCARB 25MG,Acarbose,"Flatulence,Soft stools,Diarrhoea (may need to reduce dose or withdraw),Abdominal distention,Pain,Rarely, nausea,Abnormal liver function tests and skin reactions,Very rarely ileus,Oedema,Jaundice, and hepatitis",Type 2 Diabetes Mellitus
